Позиция;#;Гонщик;None;Машина;Время;км/ч
1;97;Шейн ван Гисберген;None;Holden Commodore ZB;None;None
2;1;Джейми Уинкап;None;Holden Commodore ZB;None;None
3;15;Рик Келли;None;Nissan Altima;None;None
4;9;Дэвид Рейнольдс;None;Holden Commodore ZB;None;None
5;230;Уилл Дэвисон;None;Ford Falcon FG X;None;None
6;888;Крэг Лаундес;None;Holden Commodore ZB;None;None
7;17;Скотт Маклафлин;None;Ford Falcon FG X;None;None
8;8;Ник Перкат;None;Holden Commodore ZB;None;None
9;25;Джеймс Кортни;None;Holden Commodore ZB;None;None
10;2;Скотт Пай;None;Holden Commodore ZB;None;None
11;23;Майкл Карузо;None;Nissan Altima;None;None
12;55;Час Мостер;None;Ford Falcon FG X;None;None
13;5;Марк Винтерботтом;None;Ford Falcon FG X;None;None
14;7;Андре Хаймгартнер;None;Nissan Altima;None;None
15;14;Тим Слейд;None;Holden Commodore ZB;None;None
16;78;Симона де Сильвестро;None;Nissan Altima;None;None
17;18;Ли Холдсуорт;None;Holden Commodore ZB;None;None
18;12;Фабиан Култхард;None;Ford Falcon FG X;None;None
19;19;Джек ЛеБрок;None;Holden Commodore ZB;None;None
20;6;Кэмерон Уотерс;None;Ford Falcon FG X;None;None
21;56;Ричи Стэнэвей;None;Ford Falcon FG X;None;None
22;35;Тодд Хазелвуд;None;Ford Falcon FG X;None;None
23;21;Тим Бланкард;None;Holden Commodore ZB;None;None
24;34;Джеймс Голдинг;None;Holden Commodore ZB;None;None
25;33;Гарт Тандер;None;Holden Commodore ZB;None;None
26;99;Антон де Паскуале;None;Holden Commodore ZB;None;None
