Номер;Гонщик;None;Команда;Машина;Мотор;Шины
2;Скотт Пай;None;Walkinshaw Andretti United;Holden Commodore VF;Holden V8-5;Dunlop
3;Алекс Дэвисон;None;Repair Management Aust Racing;Holden Commodore VF;Holden V8-5;Dunlop
5;Марк Винтерботтом;None;Tickford Racing;Ford Falcon FG-X;Ford V8-5;Dunlop
6;Кэмерон Уотерс;None;Tickford Racing;Ford Falcon FG-X;Ford V8-5;Dunlop
7;Тодд Келли;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
8;Ник Перкат;None;ACDelco Racing;Holden Commodore VF;Holden V8-5;Dunlop
9;Дэвид Рейнольдс;None;Erebus Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
12;Фабиан Култхард;None;DJR Team Penske;Ford Falcon FG/X;Ford V8-5;Dunlop
14;Тим Слейд;None;Brad Jones Racing;Holden Commodore VF;Holden V8-5;Dunlop
15;Рик Келли;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
17;Скотт Маклафлин;None;DJR Team Penske;Ford Falcon FG-X;Ford V8-5;Dunlop
18;Ли Холдсуорт;None;Team 18;Holden Commodore VF;Holden V8-5;Dunlop
21;Тим Бланкард;None;Brad Jones Racing;Holden Commodore VF;Holden V8-5;Dunlop
22;Джеймс Кортни;None;Walkinshaw Andretti United;Holden Commodore VF;Holden V8-5;Dunlop
23;Майкл Карузо;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
26;Shae Davies;None;Loco Energy Drink;Nissan Altima;Nissan V8-5;Dunlop
28;Джек ЛеБрок;None;MW Motorsport;Nissan Altima;Nissan V8-5;Dunlop
31;Джеймс Голдинг;None;Garry Rogers Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
33;Гарт Тандер;None;Garry Rogers Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
34;Джеймс Моффат;None;Garry Rogers Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
36;Тодд Хазелвуд;None;Bigmate Racing;Holden Commodore VF;Holden V8-5;Dunlop
55;Час Мостер;None;Tickford Racing;Ford Falcon FG-X;Ford V8-5;Dunlop
56;Джейсон Брайт;None;Tickford Racing;Ford Falcon FG-X;Ford V8-5;Dunlop
62;Алекс Рулло;None;23Red Racing;Holden Commodore VF;Holden V8-5;Dunlop
78;Симона де Сильвестро;None;Nissan Motorsport (Австралия);Nissan Altima;Nissan V8-5;Dunlop
88;Джейми Уинкап;None;Triple Eight Race Engineering;Holden Commodore VF;Holden V8-5;Dunlop
95;Уилл Дэвисон;None;Tekno Autosports;Holden Commodore VF;Holden V8-5;Dunlop
97;Шейн ван Гисберген;None;Triple Eight Race Engineering;Holden Commodore VF;Holden V8-5;Dunlop
99;Дейл Вуд;None;Erebus Motorsport;Holden Commodore VF;Holden V8-5;Dunlop
888;Крэг Лаундес;None;Triple Eight Race Engineering;Holden Commodore VF;Holden V8-5;Dunlop
