Номер;Гонщик;None;Команда;Машина;Мотор;Шины
2;Брайс Фуллвуд;None;Mobil 1™ Middy's Racing;Holden Commodore ZB;Holden V8-5;Dunlop
3;Тим Слейд;None;Blanchard Racing Team;Ford Mustang GT;Ford V8-5;Dunlop
4;Джек Смит;None;SCT Logistics Racing;Holden Commodore ZB;None;Dunlop
5;Джек ЛеБрок;None;Truck Assist Racing;Ford Mustang GT;Ford V8-5;Dunlop
6;Кэмерон Уотерс;None;Tickford Racing;Ford Mustang GT;Ford V8-5;Dunlop
7;Андре Хаймгартнер;None;NED Racing;Ford Mustang GT;Ford V8-5;Dunlop
8;Ник Перкат;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
9;Уилл Браун;None;Erebus Motorsport Penrite;Holden Commodore ZB;Holden V8-5;Dunlop
11;Антон де Паскуале;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
14;Тодд Хазелвуд;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
17;Уилл Дэвисон;None;DJR Team Penske;Ford Mustang GT;Ford V8-5;Dunlop
18;Марк Винтерботтом;None;Irwin Racing;Holden Commodore ZB;Holden V8-5;Dunlop
19;Фабиан Култхард;None;Local Legends Racing;Holden Commodore ZB;Holden V8-5;Dunlop
20;Скотт Пай;None;DEWALT Racing;Holden Commodore ZB;Holden V8-5;Dunlop
22;Гарри Джекобсон;None;Team Sydney;Holden Commodore ZB;Holden V8-5;Dunlop
25;Час Мостер;None;Mobil 1™ Appliances Online Racing;Holden Commodore ZB;Holden V8-5;Dunlop
26;Дэвид Рейнольдс;None;Penrite Racing;Ford Mustang GT;Ford V8-5;Dunlop
34;Джейк Костеки;None;Matt Stone Racing;Holden Commodore ZB;Holden V8-5;Dunlop
35;Зейн Годдард;None;Matt Stone Racing;Holden Commodore ZB;Holden V8-5;Dunlop
44;Джеймс Кортни;None;Boost Mobile Racing;Ford Mustang GT;Ford V8-5;Dunlop
88;Джейми Уинкап;None;Red Bull Ampol Racing;Holden Commodore ZB;Holden V8-5;Dunlop
96;Маколи Джонс;None;Brad Jones Racing;Holden Commodore ZB;Holden V8-5;Dunlop
97;Шейн ван Гисберген;None;Red Bull Ampol Racing;Holden Commodore ZB;Holden V8-5;Dunlop
99;Brodie Kostecki;None;Erebus Boost Mobile Racing;Holden Commodore ZB;Holden V8-5;Dunlop
